paper_id,year,venue,model_reported,strict_reported
2020.acl-main.661,2020,ACL,0,0
2020.acl-main.662,2020,ACL,0,0
2020.acl-main.663,2020,ACL,0,0
2020.acl-main.664,2020,ACL,0,0
2020.acl-main.665,2020,ACL,1,0
2020.acl-main.666,2020,ACL,0,0
2020.acl-main.667,2020,ACL,0,0
2020.acl-main.668,2020,ACL,0,0
2020.acl-main.669,2020,ACL,0,0
2020.acl-main.67,2020,ACL,0,0
2020.acl-main.670,2020,ACL,1,0
2020.acl-main.671,2020,ACL,0,0
2020.acl-main.672,2020,ACL,0,0
2020.acl-main.673,2020,ACL,0,0
2020.acl-main.674,2020,ACL,0,0
2020.acl-main.675,2020,ACL,0,0
2020.acl-main.676,2020,ACL,0,0
2020.acl-main.677,2020,ACL,0,0
2020.acl-main.678,2020,ACL,0,0
2020.acl-main.679,2020,ACL,0,0
2020.acl-main.68,2020,ACL,0,0
2020.acl-main.680,2020,ACL,0,0
2020.acl-main.681,2020,ACL,0,0
2020.acl-main.682,2020,ACL,0,0
2020.acl-main.683,2020,ACL,0,0
2020.acl-main.684,2020,ACL,0,0
2020.acl-main.685,2020,ACL,0,0
2020.acl-main.686,2020,ACL,1,0
2020.acl-main.687,2020,ACL,1,1
2020.acl-main.688,2020,ACL,0,0
2020.acl-main.689,2020,ACL,0,0
2020.acl-main.69,2020,ACL,0,0
2020.acl-main.690,2020,ACL,0,0
2020.acl-main.691,2020,ACL,0,0
2020.acl-main.692,2020,ACL,0,0
2020.acl-main.693,2020,ACL,0,0
